Epoch	AverageEpRet	StdEpRet	AverageTestEpRet	StdTestEpRet	EpLen	TestEpLen	LossPi	LossQ1	LossQ2	LossV
1	13929837.0	3914.699	13855054.0	241571.27	1000.0	1000.0	-520917.1	259688980.0	258417180.0	81332150.0
2	13929584.0	4304.8843	11338875.0	4709200.0	1000.0	813.5	-3667440.8	2521870800.0	2507123700.0	516145440.0
3	13639520.0	589190.6	13933744.0	3907.153	978.8	1000.0	-6318124.5	7260897300.0	7284328400.0	696756400.0
4	8332655.5	6463288.5	2035879.0	2310546.0	598.2857	146.2	-6416539.5	6309016600.0	6321451000.0	497333440.0
5	6485688.0	6216815.5	2877006.5	4118617.8	467.45456	206.5	-6447151.5	7156317700.0	7146708000.0	436377180.0
6	8600951.0	5979833.5	10266386.0	4738952.5	618.44446	774.4	-5850250.0	8773855000.0	8761480000.0	348653380.0
7	8456884.0	6235239.0	3268118.5	4583107.0	613.2857	234.5	-5250791.5	7098232000.0	7093504500.0	229547070.0
8	8970485.0	5240789.5	7987090.5	4735534.5	643.7778	594.9	-4632803.0	5607672300.0	5607513600.0	178193870.0
9	8382810.0	5614082.5	4663920.5	5186284.5	601.5	334.7	-4031178.5	4751161300.0	4744321000.0	146669070.0
10	9109331.0	5591993.0	12618134.0	3955379.0	653.5714	905.4	-3566309.2	3633820700.0	3630288000.0	112094800.0
11	8958555.0	6041638.0	8675356.0	6428380.5	642.875	623.1	-3169240.0	3088971500.0	3086875100.0	94520620.0
12	9511870.0	5325714.5	9504496.0	5856736.0	682.625	682.0	-2812346.0	2614023700.0	2612046300.0	71704630.0
13	8776518.0	5528192.0	13936802.0	3462.1985	629.875	1000.0	-2531963.2	1893481900.0	1891409300.0	61168292.0
14	12113151.0	3652816.5	6198156.0	6337161.0	869.0	444.7	-2321713.0	1626513000.0	1625888100.0	57878550.0
15	9099018.0	4531973.5	10281379.0	5596996.0	652.875	737.7	-2147656.5	1487730600.0	1486973400.0	53192476.0
16	9193595.0	5621705.0	9754072.0	5557484.0	660.2857	699.9	-2009812.5	1181370900.0	1180573800.0	48647076.0
17	11990709.0	4352683.0	11277430.0	5315891.5	860.3333	809.3	-1900411.5	1065737500.0	1065128100.0	41337830.0
18	13933472.0	6383.838	7284763.0	6647194.0	1000.0	522.9	-1805729.4	898813300.0	898377800.0	35577556.0
19	11834025.0	4693741.5	12818365.0	3352568.2	849.3333	919.8	-1727039.9	784869250.0	784612740.0	38572828.0
20	9652852.0	5734083.5	12429839.0	4049700.2	692.875	892.3	-1661937.0	785037900.0	785308800.0	37429236.0
21	11644851.0	5009113.5	6405116.0	5523772.0	838.6667	459.7	-1611753.4	675181300.0	675393900.0	35522296.0
22	11585172.0	5053226.5	11225426.0	5421074.0	836.8333	805.5	-1573954.5	618282200.0	618238850.0	35350564.0
23	11425724.0	5017266.5	10489762.0	5360952.5	836.5	752.6	-1544102.8	574686300.0	574264450.0	34858948.0
24	9256434.0	5904466.5	10433943.0	5261826.5	668.7143	748.7	-1522231.2	616419140.0	616226560.0	37104044.0
25	13931494.0	6687.7686	12047615.0	3944978.0	1000.0	865.1	-1504323.1	541426400.0	541087200.0	33157392.0
26	12158548.0	3972967.8	10188145.0	5740380.0	872.5	731.0	-1486674.2	581050600.0	580470200.0	32523808.0
27	11785307.0	4063570.5	12238256.0	3879775.0	845.6667	878.2	-1474657.1	509988960.0	509744450.0	28123404.0
28	11332894.0	3892321.0	9910443.0	5123707.0	856.0	711.2	-1466937.0	504469060.0	504176770.0	33090898.0
29	11949893.0	4434209.0	11052617.0	5157923.5	857.6667	793.0	-1461238.0	428908800.0	428592400.0	28496972.0
