Epoch	AverageEpRet	StdEpRet	AverageTestEpRet	StdTestEpRet	EpLen	TestEpLen	LossPi	LossQ1	LossQ2	LossV
1	13920454.0	5882.062	13401193.0	441432.0	1000.0	1000.0	-399311.66	154707120.0	154221470.0	61997610.0
2	13919360.0	18925.979	13942194.0	445.31763	1000.0	1000.0	-4304540.0	5227512000.0	5225475000.0	1378358700.0
3	13941712.0	1216.154	13941229.0	1344.9434	1000.0	1000.0	-10097590.0	11112969000.0	11162587000.0	1532795500.0
4	13942558.0	363.60007	13941483.0	913.0008	1000.0	1000.0	-8444201.0	3501976000.0	3539455700.0	298838270.0
5	13942035.0	863.66895	13941352.0	1259.466	1000.0	1000.0	-6703275.0	1089417600.0	1096910700.0	131985380.0
6	13942035.0	644.86945	13942024.0	662.7157	1000.0	1000.0	-5460115.5	365883500.0	369063700.0	66173664.0
7	13940752.0	1328.7489	13941040.0	1865.8495	1000.0	1000.0	-4534545.0	156370460.0	157902780.0	38944204.0
8	13940650.0	1621.2936	13940830.0	1213.6837	1000.0	1000.0	-3824275.0	76886190.0	77985860.0	24786330.0
9	13466202.0	953076.06	13942075.0	1710.9009	1000.0	1000.0	-3276290.8	43051692.0	43678268.0	16787786.0
10	13941434.0	1097.0637	13942195.0	832.654	1000.0	1000.0	-2852879.2	24719200.0	25119608.0	11873522.0
11	13940710.0	1150.9951	13941814.0	1698.572	1000.0	1000.0	-2523980.2	15306559.0	15510607.0	8310720.0
12	13942739.0	1.0	13942478.0	552.5303	1000.0	1000.0	-2269964.0	10170021.0	10272991.0	6624761.0
13	13939802.0	969.4875	13941866.0	965.7733	1000.0	1000.0	-2073191.4	7005031.5	7108749.0	5022076.0
14	13941008.0	480.59442	13941189.0	1454.4009	1000.0	1000.0	-1920145.9	5144968.0	5183996.5	4254367.0
15	13941070.0	2128.7583	13941050.0	1688.5776	1000.0	1000.0	-1801216.0	3719466.2	3742798.2	3309937.5
16	13941552.0	1134.4633	13941474.0	1990.7965	1000.0	1000.0	-1709017.6	2873446.5	2895723.2	2856366.0
17	13942376.0	445.3174	13940846.0	1754.9734	1000.0	1000.0	-1637324.5	2319361.8	2367176.2	2543820.2
18	13941512.0	879.06305	13941211.0	1451.0068	1000.0	1000.0	-1581269.0	1959712.8	1994405.1	2304346.5
19	13463931.0	956764.0	13941794.0	1160.8771	1000.0	1000.0	-1537364.6	1620689.8	1644091.0	2003676.0
20	13941211.0	567.6525	13940758.0	1940.0212	1000.0	1000.0	-1503382.1	1395174.0	1424694.1	1881324.4
21	13940867.0	1987.5964	13940901.0	1662.4126	1000.0	1000.0	-1476655.2	1284800.9	1316227.0	1715674.4
22	13942558.0	363.60007	13941955.0	818.9169	1000.0	1000.0	-1455846.8	1151074.9	1181652.4	1659482.9
23	13942558.0	363.60007	13942035.0	943.94977	1000.0	1000.0	-1439685.9	1008132.6	1039890.56	1510988.2
24	13941070.0	1763.072	13941893.0	971.2921	1000.0	1000.0	-1426945.4	921296.06	940111.7	1447884.1
25	13942077.0	942.14905	13942398.0	682.40045	1000.0	1000.0	-1417183.9	865880.25	887716.56	1428286.4
26	13461758.0	958247.44	13941310.0	1759.3788	1000.0	1000.0	-1409438.2	855435.56	873020.6	1394560.2
27	13942376.0	445.3174	13941419.0	1610.587	1000.0	1000.0	-1403350.9	816548.06	833401.56	1352169.5
28	13942035.0	1017.9186	13941341.0	1334.144	1000.0	1000.0	-1398690.0	776803.3	787179.94	1265801.9
29	13942195.0	726.85004	13940939.0	940.69257	1000.0	1000.0	-1395160.1	733761.4	751569.7	1247802.8
