Epoch	AverageEpRet	StdEpRet	AverageTestEpRet	StdTestEpRet	EpLen	TestEpLen	LossPi	LossQ1	LossQ2	LossV
1	9170123.0	1071659.9	13942739.0	1.0	1000.0	1000.0	-42930.332	135778080.0	122618450.0	1898283.2
2	8827757.0	205986.38	9374457.0	3156.06	1000.0	1000.0	-222971.39	919322600.0	820797950.0	14420397.0
3	9372166.0	8151.7837	9376018.0	4265.655	1000.0	1000.0	-494961.1	2202882600.0	1995258100.0	29902772.0
4	8555688.0	1000880.44	7335340.0	12173.653	1000.0	1000.0	-782593.56	2762131000.0	2591020300.0	33527648.0
5	6494645.5	2857462.2	8487001.0	2694933.5	1000.0	1000.0	-1131953.9	3698761700.0	3563216400.0	33030596.0
6	8513451.0	1906333.2	8592282.0	33013.52	1000.0	1000.0	-1376718.9	7474457600.0	7209457700.0	33088628.0
7	6277198.0	2736337.0	6439092.0	3369839.2	1000.0	1000.0	-1533636.2	6620940000.0	6384781300.0	27786058.0
8	8905622.0	385414.4	9387059.0	11165.402	1000.0	1000.0	-1607516.6	4888055300.0	4751488000.0	18250226.0
9	6455522.5	2762149.2	4633337.5	3943809.0	1000.0	1000.0	-1594420.0	4416948700.0	4296417000.0	14631828.0
10	7801862.5	2190034.5	6440253.0	2853934.2	1000.0	902.3	-1587051.6	4363143700.0	4245363000.0	12430456.0
11	4653315.5	2871790.2	5956575.0	1774302.1	1000.0	1000.0	-1547654.8	4156651800.0	4044177200.0	12548681.0
12	3746814.0	2036002.6	6283225.0	2356275.8	1000.0	1000.0	-1470471.5	4769310700.0	4646219000.0	15212354.0
13	5956227.0	1869964.1	7337009.0	9620.851	1000.0	1000.0	-1384922.0	3408084500.0	3295201800.0	15311477.0
14	6281259.0	2160555.8	7342820.0	5768.5864	1000.0	1000.0	-1304438.8	2112208900.0	2040883100.0	11239562.0
15	7345623.0	9152.485	7364998.5	28915.17	1000.0	1000.0	-1206197.5	1596641900.0	1554915300.0	7420095.5
