Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-344.45477	31.40923	-309.52496	-395.09616	-2790.641	55.585526	-2713.7927	-2881.3257	1000.0	1000.0	5000	14.003339	12.538784	57.27937	-8.070755	-16.235548	1.37423	27.596733331680298
2	-356.28925	48.89398	-286.71646	-403.20645	-2984.776	20.62338	-2948.4487	-3007.6816	1000.0	1000.0	10000	98.25673	38.229362	218.80272	26.148335	-105.31473	10.569416	56.10034799575806
3	-2618.226	106.264046	-2423.9392	-2732.353	-2538.188	688.5395	-481.2377	-2885.8428	1000.0	916.1	15000	205.20638	15.724015	280.35028	148.18878	-210.10585	14.292728	87.0930483341217
4	-1569.394	1007.34436	-49.765152	-2552.5647	-126.41138	236.80219	352.6801	-533.52985	1000.0	1000.0	20000	189.94933	13.587471	240.0759	147.73006	-191.50958	5.649713	120.03119254112244
5	225.44829	194.5829	418.02448	-140.05038	465.15274	65.21707	579.53534	343.0344	1000.0	1000.0	25000	160.88672	8.429932	198.65056	122.96908	-162.63582	2.423969	151.6812446117401
6	513.2887	79.675735	590.7367	366.54395	733.1065	47.26115	779.85864	624.4947	1000.0	1000.0	30000	143.04823	6.675551	174.7754	113.235825	-144.64491	1.9672849	184.4022777080536
7	631.50757	89.54934	719.93604	459.36264	749.2716	45.86777	823.7486	693.7683	1000.0	1000.0	35000	131.08243	5.652264	159.39566	104.44736	-132.54117	1.897943	216.6707468032837
8	451.6584	374.53033	712.60474	-280.83267	642.7076	150.14124	919.0807	393.0179	1000.0	1000.0	40000	122.95009	5.181891	149.83546	97.52106	-124.30698	1.7448186	248.50425362586975
9	691.3952	59.807796	746.90344	607.15735	506.2558	80.40175	683.01764	358.9754	1000.0	1000.0	45000	117.44674	5.200693	143.16629	88.8206	-118.73061	1.7212838	281.212854385376
10	532.2965	79.08639	636.32184	458.08453	713.9239	35.34918	765.6386	665.33765	1000.0	1000.0	50000	113.863594	5.6095295	139.23929	82.846634	-115.0823	1.6920332	313.98567056655884
11	621.86237	182.35681	772.20013	278.06845	619.4631	260.20764	729.6363	-158.12135	1000.0	1000.0	55000	111.840256	6.1271806	139.91156	77.75365	-113.0061	1.7729853	347.7967884540558
