Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-390.9518	25.13006	-344.7013	-412.87915	-2074.5054	969.8033	-74.62099	-2768.4365	1000.0	773.9	5000	16.365238	15.687926	93.24163	-6.2771864	-19.133976	2.2766182	35.672205686569214
2	-454.3163	76.35078	-368.56277	-559.22546	-314.94037	278.06027	-17.816944	-884.132	1000.0	89.5	10000	116.9742	43.13999	259.62488	36.430645	-124.626	16.232763	56.27847957611084
3	-830.7973	1027.3286	-51.35145	-2525.9858	-2171.9788	704.8662	-67.41793	-2522.7834	340.33334	902.0	15000	224.54591	14.064914	342.30905	52.40693	-229.46065	65.437614	85.46715235710144
4	-1791.7985	264.7032	-1388.5656	-2113.3997	-1224.2195	108.433716	-1054.1333	-1382.9951	1000.0	1000.0	20000	222.16458	12.632186	331.06476	-20.55914	-224.71153	29.641853	118.50695586204529
5	-1284.4479	177.36664	-1061.1162	-1457.903	-603.39856	181.15547	-150.36385	-850.9067	1000.0	863.2	25000	190.56155	14.569872	301.41055	-28.50256	-192.3825	16.145962	151.1982352733612
6	-586.1411	357.23047	-85.22899	-1163.2578	-259.65732	126.67401	-103.98312	-496.45746	745.0	919.2	30000	157.71655	13.554786	271.4743	-58.145813	-159.33554	11.444912	184.0300908088684
7	-305.4603	105.83022	-139.25623	-441.28876	75.13288	110.88797	231.58794	-82.972725	1000.0	906.5	35000	129.7386	11.315888	227.6628	-88.83623	-131.19449	7.4712186	216.15711164474487
8	-211.3281	165.44888	-15.984279	-408.97714	218.94328	196.1929	445.19763	-211.72038	1000.0	937.0	40000	110.118866	10.240756	198.01802	-62.859787	-111.61971	6.3703732	249.16446495056152
9	-199.97302	225.83002	32.64254	-597.4119	-282.7679	284.53748	-5.006619	-756.61237	1000.0	1000.0	45000	98.80113	12.13383	224.55167	-58.685574	-100.38665	7.866031	283.7637085914612
10	-421.30527	253.3088	-111.74677	-775.5894	-497.312	209.02075	-223.09163	-895.7464	1000.0	903.5	50000	93.66036	16.6663	263.97925	-46.764004	-95.35242	12.035374	318.27686190605164
11	-918.6461	138.23409	-730.4789	-1096.1312	-932.99445	485.93216	-25.957882	-1647.7374	1000.0	774.6	55000	93.15393	22.83898	344.85657	-103.57098	-94.96575	18.722116	350.7725830078125
12	-954.55475	361.86365	-412.27252	-1486.8844	-944.3325	207.26596	-725.124	-1411.3883	814.8333	1000.0	60000	92.22079	25.143951	325.68478	-72.45703	-94.015686	19.711288	386.1882703304291
13	-1146.6798	425.0683	-334.6703	-1776.2507	-1024.0497	316.50977	-251.2915	-1310.0658	852.6667	839.0	65000	90.43914	27.045229	356.54526	-78.36481	-92.218445	20.03425	420.97233390808105
14	-1034.886	592.429	-57.538647	-1637.4165	-885.41925	524.0845	-54.918015	-1607.4899	736.2857	725.0	70000	86.3955	28.738369	331.38022	-56.422947	-88.01893	20.817453	456.4773213863373
15	-1162.6996	185.95288	-807.8739	-1334.5193	-734.6455	381.8571	-138.05309	-1529.6858	919.6	915.5	75000	77.98108	27.51807	286.65543	-69.21367	-79.40102	17.898554	492.72353529930115
16	-908.3075	347.7054	-578.1317	-1560.6187	-660.8401	344.51144	-119.84896	-1356.6688	1000.0	848.9	80000	68.01915	25.745693	263.12173	-47.556614	-69.365875	15.847472	530.6768894195557
17	-775.31525	309.23434	-185.43524	-1151.7217	-603.01166	395.2267	-17.152597	-1256.1333	850.0	817.6	85000	59.05406	24.486202	253.83046	-47.75075	-60.379692	14.693519	568.8868086338043
18	-815.97943	175.54848	-563.2119	-1063.5319	-536.9914	324.03027	-50.69418	-1091.1384	1000.0	903.6	90000	52.769775	23.305988	237.23898	-51.297607	-54.13473	14.804707	608.0396339893341
19	-705.29974	169.93707	-486.1634	-927.1639	-332.53796	191.16158	-91.88172	-656.47064	948.1667	910.5	95000	47.94545	22.692337	251.43974	-44.674488	-49.267918	14.6572275	649.8764832019806
20	-574.8093	220.24709	-188.4364	-867.6128	-694.16974	404.9393	-215.5918	-1202.1525	837.6	929.9	100000	44.630047	22.29486	250.98238	-48.714817	-45.972416	14.148961	686.3785240650177
21	-880.6961	220.2727	-591.0742	-1188.643	-1037.1161	408.11484	-565.0841	-2189.6294	1000.0	1000.0	105000	42.38018	21.945662	225.56564	-47.816402	-43.707245	14.491857	727.7628967761993
