Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	4710.0327	39.016304	4763.1465	4633.0796	4683.308	2.5116303	4687.2417	4680.5146	1000.0	1000.0	10000	105.77719	61.99119	327.7689	-128.84601	-106.63295	6.8854938	76.80194973945618
2	4714.448	18.157545	4733.6997	4673.553	4683.803	2.0274203	4686.5303	4680.2026	1000.0	1000.0	20000	263.85678	33.99237	469.81564	73.41045	-264.21982	6.6549416	175.22003173828125
3	4705.8413	35.06896	4736.0757	4619.5317	4684.8545	0.99589926	4686.295	4683.5415	1000.0	1000.0	30000	351.96027	29.783493	570.84094	107.78352	-352.36105	7.552718	275.13627219200134
4	4715.6704	18.267488	4732.076	4668.958	4683.796	2.5701175	4687.804	4680.032	1000.0	1000.0	40000	409.04498	26.264288	587.6553	201.35294	-409.30396	7.297849	380.3980152606964
5	4722.0205	11.293381	4731.909	4699.332	4683.287	2.1080568	4686.7725	4679.8286	1000.0	1000.0	50000	440.0929	24.17998	662.22107	238.57744	-440.3139	6.8655562	484.37189388275146
6	4715.329	17.407938	4734.387	4678.965	4684.123	2.4345171	4687.158	4680.091	1000.0	1000.0	60000	459.56464	23.382017	674.9708	203.37038	-459.78696	6.433507	588.2310991287231
7	4695.8564	31.856815	4728.1875	4614.426	4683.4854	2.349555	4687.6143	4680.4136	1000.0	1000.0	70000	470.99652	22.136663	664.7728	244.96773	-471.1924	5.340012	690.9143469333649
8	4714.9087	11.696668	4731.135	4692.4478	4683.596	2.186232	4686.557	4680.9893	1000.0	1000.0	80000	477.64624	21.04648	685.80927	198.18126	-477.83176	6.0406733	794.8171458244324
9	4715.3647	20.632032	4736.8887	4671.1294	4683.712	1.6962918	4686.311	4680.757	1000.0	1000.0	90000	481.89636	20.115261	805.3897	317.09616	-482.0802	5.5267467	899.1742305755615
10	4707.107	20.17276	4731.7715	4668.722	4683.9927	2.2394426	4687.9424	4681.0347	1000.0	1000.0	100000	485.44507	19.413277	682.3096	307.57538	-485.662	5.4906025	1001.8299489021301
11	4718.378	12.387781	4731.114	4697.445	4682.468	2.1533902	4687.478	4680.1294	1000.0	1000.0	110000	487.95776	18.605417	715.74066	307.18707	-488.1684	5.116601	1105.5790853500366
12	4706.203	39.800568	4731.685	4595.17	4684.2173	1.7424144	4686.836	4681.7227	1000.0	1000.0	120000	490.1037	17.944046	727.0619	288.59763	-490.3346	4.3521338	1214.5335972309113
13	4721.437	11.362697	4732.2456	4696.425	4683.13	1.5056614	4685.7627	4681.286	1000.0	1000.0	130000	491.60306	17.65906	795.4779	361.35995	-491.8311	4.632416	1326.2013478279114
14	4718.362	15.437532	4734.8516	4692.896	4684.2085	2.1699848	4686.6553	4679.312	1000.0	1000.0	140000	491.89697	17.039442	779.78094	252.21521	-492.1111	4.3072605	1437.8579823970795
15	4718.95	17.290499	4732.129	4679.2104	4684.118	2.0323234	4687.628	4680.7466	1000.0	1000.0	150000	492.5076	16.293755	719.5029	249.80853	-492.7315	3.7650282	1550.8018870353699
16	4717.374	20.698456	4735.687	4664.381	4683.5747	2.4984415	4687.798	4680.4634	1000.0	1000.0	160000	492.88937	15.532091	721.4642	281.47168	-493.1161	3.6798613	1662.7774739265442
17	4714.2666	17.068058	4732.297	4681.884	4684.494	2.2362814	4688.1426	4679.941	1000.0	1000.0	170000	494.01834	14.796383	697.3906	301.169	-494.26917	3.3534307	1779.568564414978
18	4724.523	9.028102	4732.841	4700.344	4683.876	1.626482	4687.087	4681.638	1000.0	1000.0	180000	495.01096	13.976215	726.1623	272.84924	-495.2728	3.971682	1902.4706461429596
19	4722.46	10.981393	4732.1704	4699.468	4684.9585	1.5618856	4687.2007	4682.6577	1000.0	1000.0	190000	496.83813	13.425048	727.379	219.53702	-497.1213	3.456146	2024.5504443645477
20	4712.5547	16.185545	4729.6636	4685.563	4684.7725	2.236769	4688.3867	4681.1665	1000.0	1000.0	200000	497.74	12.579167	761.46533	298.23392	-498.0116	3.046019	2145.7115738391876
21	4726.6074	7.515264	4737.9507	4709.486	4683.8247	1.44128	4685.8193	4681.465	1000.0	1000.0	210000	498.46097	11.903612	771.6208	317.38678	-498.75024	3.21969	2268.7634360790253
22	4717.254	19.323994	4732.2065	4673.048	4684.0146	2.1682098	4688.3965	4680.474	1000.0	1000.0	220000	499.06335	11.143649	719.8999	229.052	-499.3601	3.2331514	2389.371520280838
23	4721.798	12.852274	4734.295	4692.081	4682.448	2.1961706	4685.9697	4680.292	1000.0	1000.0	230000	500.79053	10.761287	864.97797	288.9722	-501.10626	3.2289257	2509.670931816101
24	4719.329	16.96466	4731.94	4683.3916	4684.303	2.6699772	4687.4766	4680.673	1000.0	1000.0	240000	501.71588	10.391807	694.0657	346.40628	-502.0193	2.4083297	2630.857698917389
25	4727.7485	3.1719913	4732.7817	4722.2075	4683.2773	1.7151501	4685.8	4680.0083	1000.0	1000.0	250000	502.20242	9.737971	698.0678	202.6596	-502.51224	3.0175405	2755.04411649704
26	4722.6284	11.790446	4736.2207	4696.6724	4683.846	2.5630715	4688.134	4678.858	1000.0	1000.0	260000	502.46487	9.3486595	689.1183	280.65607	-502.7693	2.8035426	2876.9185247421265
27	4713.258	18.19934	4729.412	4678.5186	4684.0215	2.0702548	4686.832	4681.1553	1000.0	1000.0	270000	502.56216	9.04409	699.3783	280.90836	-502.8639	2.5260584	2991.922701358795
28	4714.0986	18.719046	4731.624	4668.9033	4683.885	2.2668998	4688.053	4680.2773	1000.0	1000.0	280000	502.58542	8.597422	743.4263	359.3766	-502.8894	2.3871224	3104.9345173835754
29	4706.751	21.083366	4730.7275	4675.0854	4683.2266	2.201649	4685.5957	4679.82	1000.0	1000.0	290000	502.47528	8.195303	643.8394	356.22647	-502.77405	2.3444262	3218.228185892105
30	4725.055	6.634513	4735.984	4709.5396	4684.245	1.9431297	4687.407	4680.614	1000.0	1000.0	300000	502.50327	7.7943115	821.1186	335.78442	-502.80716	2.1691504	3334.5887541770935
31	4706.8057	35.31601	4732.117	4614.9307	4684.315	2.2274585	4688.809	4681.3623	1000.0	1000.0	310000	502.08945	7.6914067	730.1005	364.90286	-502.3787	2.2359073	3454.342691898346
32	4716.031	34.705128	4735.1553	4612.6704	4684.2163	2.4359956	4687.718	4680.0024	1000.0	1000.0	320000	501.35202	7.5677013	758.0146	239.02322	-501.6086	2.203928	3573.793660879135
33	4724.0576	13.873124	4735.4834	4692.0195	4683.0522	2.2105117	4686.552	4679.411	1000.0	1000.0	330000	499.63535	7.1657853	754.2662	380.97864	-499.8877	1.9968584	3685.743493080139
34	4720.6084	12.616678	4735.341	4700.042	4683.1045	2.2749584	4686.9346	4679.843	1000.0	1000.0	340000	498.87585	6.893108	838.1775	278.24896	-499.1284	2.406159	3796.6463673114777
35	4718.9634	11.371846	4730.907	4700.8003	4682.763	2.1260011	4686.646	4680.1763	1000.0	1000.0	350000	498.14758	6.7630053	734.1195	325.70685	-498.3803	1.68359	3906.9170711040497
36	4720.251	15.949638	4731.3833	4678.744	4683.6426	1.9926016	4686.5894	4679.655	1000.0	1000.0	360000	497.2033	6.5578356	694.85535	292.6015	-497.44104	2.0774899	4019.9489064216614
37	4719.434	15.137614	4738.17	4697.6533	4684.197	2.5543358	4687.9746	4680.5176	1000.0	1000.0	370000	496.69962	6.4471726	680.7129	346.43835	-496.93375	1.616064	4130.3031504154205
38	4712.56	35.25829	4729.6084	4608.1797	4682.917	1.4506505	4684.542	4680.3594	1000.0	1000.0	380000	496.44183	6.21554	825.3105	279.10333	-496.6795	2.1322618	4241.613886356354
39	4720.4194	11.319917	4736.0312	4698.4253	4684.234	1.5585666	4686.1597	4681.3613	1000.0	1000.0	390000	496.1501	6.070325	701.41815	351.10413	-496.37976	1.6703084	4354.16054224968
40	4703.296	32.18771	4729.2773	4625.1924	4684.2554	2.8597248	4688.2754	4680.3926	1000.0	1000.0	400000	495.67764	5.869766	642.1006	290.43185	-495.8969	1.5702562	4464.847678422928
