Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	4682.6294	59.746117	4833.332	4602.707	4635.1553	12.265736	4653.095	4618.16	1000.0	1000.0	10000	129.14084	58.043835	366.42648	-52.305977	-129.9177	15.2821	82.39459729194641
2	4687.1543	9.129072	4700.528	4667.462	4634.404	13.343695	4655.852	4620.0977	1000.0	1000.0	20000	273.2003	30.336752	452.62338	98.92544	-273.40134	7.1390123	170.274099111557
3	4686.2944	6.4475694	4700.918	4678.2036	4631.5337	9.734286	4647.239	4622.459	1000.0	1000.0	30000	352.87772	19.928501	723.02704	158.12143	-353.01773	6.400248	258.26468873023987
4	4685.0913	11.96021	4705.9043	4663.9365	4635.505	12.288525	4653.0293	4620.388	1000.0	1000.0	40000	401.6208	14.764336	566.9748	111.25714	-401.73367	6.249155	347.10659289360046
5	4685.8843	6.184878	4700.403	4678.2944	4631.8867	6.271622	4644.7056	4624.7974	1000.0	1000.0	50000	430.43338	12.06272	717.83936	97.56917	-430.52435	5.702751	434.6306643486023
6	4689.0693	8.80297	4705.453	4674.813	4631.782	10.176994	4656.351	4622.489	1000.0	1000.0	60000	447.5717	10.540219	795.6145	156.31053	-447.664	5.7182198	522.8707222938538
7	4685.4927	11.417005	4698.6255	4661.0083	4632.667	11.096148	4652.8857	4618.4067	1000.0	1000.0	70000	458.0664	9.363216	963.7512	158.37071	-458.141	5.124753	611.7795147895813
8	4689.718	7.407153	4703.801	4679.846	4631.1777	11.301277	4646.5435	4619.392	1000.0	1000.0	80000	464.53516	8.266083	800.1569	271.75006	-464.6285	4.703273	700.3294923305511
9	4689.5107	6.186779	4703.8696	4683.0938	4629.628	10.893185	4653.4526	4617.8623	1000.0	1000.0	90000	468.91092	7.6841326	807.42645	205.20657	-469.0012	4.192807	788.4254627227783
10	4694.259	10.276334	4709.6377	4679.209	4634.659	12.0286255	4653.217	4623.853	1000.0	1000.0	100000	470.91812	6.8981266	833.38934	148.20003	-470.9774	3.8950913	877.0152010917664
11	4685.1235	5.251357	4695.4604	4678.19	4639.092	12.247278	4654.3525	4622.985	1000.0	1000.0	110000	471.31796	5.9323697	661.4395	217.03891	-471.3646	3.3870578	965.8099792003632
