Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-2329.9788	48.08436	-2263.378	-2410.6804	1000.0	-0.031384725	0.4745666	1.6158354	-1.5637485	5000	-0.14625816	46086.24	-0.015024632	-5760.6953	7.379589	0.0056939772	6.195471286773682
1	-2170.7524	143.26218	-1985.8972	-2391.4114	1000.0	-14.267969	0.45006	-9.719254	-14.704263	10000	-0.1674468	35568.8	-0.0094901025	-2526.4219	7.3036814	0.0032774692	11.787009477615356
2	-2124.0947	63.37433	-2050.5244	-2217.747	1000.0	-21.292807	0.096409045	-19.688251	-21.360292	15000	-0.08861383	30632.518	-0.009126112	-1880.6875	7.3239517	0.0028183663	17.390286922454834
3	-2062.2017	46.94685	-2018.9277	-2131.9543	1000.0	-26.932423	0.060034424	-25.420753	-26.966997	20000	-0.08773415	27211.04	-0.0076162145	-1638.6074	7.323882	0.0018889459	23.167139291763306
4	-2001.6631	51.215908	-1930.2788	-2067.63	1000.0	-32.15732	0.04451703	-30.712671	-32.175278	25000	-0.103150256	23665.424	-0.007424131	-1419.3633	7.338272	0.0022044338	28.951024532318115
5	-1871.3186	106.689545	-1717.5631	-2040.452	1000.0	-37.043682	0.034212198	-35.82265	-37.058	30000	-0.13014509	19695.012	-0.0069735944	-1189.8379	7.262447	0.0019995265	34.83724665641785
6	-1917.8715	54.098835	-1840.3959	-1993.0615	1000.0	-41.57886	0.027676692	-40.600525	-41.589317	35000	-0.13465433	18956.928	-0.0067454576	-1177.5762	7.393716	0.001301354	40.74964356422424
7	-1877.6082	124.313705	-1764.5742	-2115.259	1000.0	-46.12533	0.021388197	-45.53556	-46.13432	40000	-0.15546018	16796.336	-0.004548639	-1050.294	7.3269014	0.0014733302	46.673969745635986
8	-1828.5098	33.25512	-1788.2267	-1886.2148	1000.0	-50.489605	0.018338462	-50.03773	-50.49669	45000	-0.14673118	14635.394	-0.0063860565	-942.6045	7.37388	0.0022933793	52.68450117111206
9	-1754.4336	59.634586	-1683.5475	-1848.3195	1000.0	-54.681477	0.018776614	-54.02056	-54.687435	50000	-0.09939917	12536.772	-0.005556032	-821.9326	7.3317733	0.001302735	59.49806547164917
10	-1709.3258	73.216736	-1587.0209	-1801.4138	1000.0	-58.660225	0.013153237	-58.0944	-58.66533	55000	-0.14866814	10447.107	-0.00575307	-700.8008	7.323025	0.001316308	66.24544882774353
11	-1714.2332	92.39383	-1599.7183	-1851.5522	1000.0	-62.398327	0.016445342	-61.77325	-62.40321	60000	-0.102214076	9548.358	-0.004755713	-650.49316	7.343989	0.0012729786	72.13532853126526
12	-1374.8972	621.2738	-134.26526	-1722.871	817.6	-66.053116	0.013079921	-65.540016	-66.05736	65000	-0.12526084	8436.403	-0.005388081	-589.9971	7.357154	0.0019940492	78.50728154182434
13	-1608.9891	28.972273	-1574.4241	-1646.5929	1000.0	-69.5963	0.013574002	-69.0724	-69.60061	70000	-0.11222713	7159.2856	-0.0044062138	-500.41992	7.325525	0.0017540691	85.07932710647583
14	-1562.5984	33.38601	-1520.5105	-1622.9043	1000.0	-72.92509	0.011045713	-72.573204	-72.92879	75000	-0.06317429	5583.1475	-0.004326515	-406.14502	7.319947	0.0011235514	91.62287092208862
15	-1537.4886	52.901756	-1455.7604	-1614.9552	1000.0	-75.98446	0.012369669	-75.58597	-75.98809	80000	-0.11764452	4896.4946	-0.0037380606	-349.3506	7.320594	0.0012276202	98.35219597816467
16	-1467.5997	81.37281	-1316.1053	-1544.4806	1000.0	-78.87296	0.009144883	-78.48072	-78.87594	85000	-0.08467506	3821.9548	-0.003095448	-276.31958	7.368978	0.0003004771	105.16466283798218
17	-1481.9402	44.286373	-1405.5247	-1543.3269	1000.0	-81.50104	0.009395072	-81.14681	-81.503876	90000	-0.08877626	3573.1128	-0.002936326	-260.3723	7.3106065	0.00085560064	111.9337809085846
18	-1439.2742	55.197014	-1364.2731	-1502.2263	1000.0	-84.08986	0.008421909	-83.77728	-84.09268	95000	-0.11815854	2984.3943	-0.0035624877	-208.80176	7.25246	0.0011392498	118.8644437789917
19	-1382.9026	60.3072	-1307.7136	-1467.3784	1000.0	-86.468666	0.008650049	-86.15242	-86.47124	100000	-0.16426206	2377.186	-0.0026159585	-159.72852	7.353633	0.000660248	125.67795372009277
20	-1381.4808	86.577545	-1270.5659	-1514.9741	1000.0	-88.595604	0.008637809	-88.25894	-88.59819	105000	-0.10644254	2091.786	-0.0034362525	-135.65283	7.2811713	0.001230357	133.0126359462738
21	-1358.5764	25.419271	-1330.477	-1396.2809	1000.0	-90.591125	0.008890147	-90.22009	-90.59366	110000	-0.065251	1827.7181	-0.002999045	-121.17554	7.347366	0.0003336422	139.86747097969055
22	-1319.2284	79.16327	-1227.5964	-1415.7206	1000.0	-92.51478	0.0069487453	-92.35722	-92.51742	115000	-0.100095406	1685.9546	-0.0028691217	-92.356445	7.340721	0.0013025671	146.5562345981598
23	-1344.3074	30.847164	-1288.6234	-1375.7657	1000.0	-94.23948	0.0063957437	-94.069885	-94.24167	120000	-0.09795149	1544.6326	-0.002696596	-81.78943	7.270902	-0.00056840485	153.3245496749878
24	-1325.2	70.11843	-1259.2715	-1438.0923	1000.0	-95.88871	0.008051012	-95.585396	-95.89105	125000	-0.13058536	1347.3202	-0.0026727766	-70.844604	7.3104906	0.0007048323	160.19018530845642
25	-1282.2078	53.445625	-1199.6621	-1350.7372	1000.0	-97.4583	0.007240955	-97.26934	-97.46059	130000	-0.09864495	1068.354	-0.002603434	-41.538208	7.261578	0.00011278362	167.02174711227417
26	-1290.906	47.007755	-1235.693	-1378.1322	1000.0	-98.702545	0.0067202076	-98.45789	-98.70455	135000	-0.11778554	1082.4996	-0.003287062	-38.565674	7.310525	0.00086195505	173.8961160182953
27	-1208.3579	36.112865	-1151.8787	-1250.2843	1000.0	-99.90785	0.006582174	-99.727356	-99.91012	140000	-0.15626246	783.1451	-0.003112644	-15.959778	7.2717147	0.00085178396	180.51565027236938
28	-1211.356	33.517994	-1170.9443	-1251.4958	1000.0	-100.72488	0.0064676236	-100.53864	-100.72689	145000	-0.083660446	685.8085	-0.0030272081	-11.39679	7.3258624	4.2210435e-05	187.35174465179443
