Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-1806.0579	120.23469	-1587.5409	-1942.4635	1000.0	-0.034983568	0.8808526	1.9530013	-1.9224902	5000	0.29977033	28858.38	-0.0252437	-4547.1523	9.665371	2.2031732	17.490341424942017
1	-1672.4437	51.64477	-1604.2683	-1756.3109	1000.0	-14.465326	0.41677842	-11.344758	-14.993482	10000	0.31871855	20322.367	-0.01949495	-1889.3145	9.544572	2.1547253	25.85750961303711
2	-1613.4213	37.472973	-1548.5612	-1656.7274	1000.0	-21.541206	0.07891554	-20.572786	-21.613945	15000	0.27327165	16360.893	-0.019644469	-1342.4736	9.525666	2.174494	34.39913749694824
3	-1631.4392	20.483738	-1612.6256	-1670.7604	1000.0	-27.07305	0.054364298	-26.086842	-27.114008	20000	0.35204405	15174.064	-0.019411772	-1203.7158	9.443029	2.066955	42.771626710891724
4	-1551.3678	66.91906	-1421.9175	-1600.7538	1000.0	-32.27525	0.032873586	-31.641624	-32.298897	25000	0.2695206	12572.409	-0.0148769915	-1008.7549	9.288755	1.9228988	51.113455295562744
5	-1481.9974	18.339705	-1448.9989	-1498.197	1000.0	-37.07955	0.028053341	-36.295437	-37.096455	30000	0.23388721	10476.837	-0.013454258	-845.709	9.5266285	2.099481	59.39964413642883
6	-1447.4618	49.982403	-1399.2839	-1542.008	1000.0	-41.54046	0.01981979	-41.07788	-41.552456	35000	0.31318885	8963.6455	-0.011507511	-736.6133	9.316842	1.9168915	67.56742334365845
7	-1389.2151	93.60445	-1261.8503	-1511.877	1000.0	-45.767593	0.016029285	-45.418663	-45.77813	40000	0.20322229	7136.5854	-0.011022523	-594.8296	9.281374	1.9011652	75.69895529747009
8	-1101.713	540.7901	-27.752563	-1487.1245	804.2	-49.649563	0.01557465	-49.199078	-49.657978	45000	0.2507822	6120.848	-0.010528773	-519.33154	9.316439	1.8613367	83.50441193580627
9	-1289.0842	56.54292	-1191.7385	-1355.3922	1000.0	-53.34215	0.0134222815	-52.969093	-53.34942	50000	0.28038138	4440.652	-0.008141935	-379.95068	9.234117	1.8393016	91.2541356086731
10	-1231.5752	39.708652	-1180.8486	-1297.7422	1000.0	-56.590256	0.010842611	-56.357777	-56.59651	55000	0.21956716	3917.4675	-0.010965869	-333.3816	9.198266	1.7928818	99.99873781204224
11	-1003.27844	424.4554	-156.48344	-1248.5475	818.8	-59.68483	0.011325167	-59.424717	-59.69089	60000	0.2237656	3348.3594	-0.0054074973	-304.43018	9.183391	1.7932726	108.1553418636322
12	-1167.6719	23.591879	-1134.8629	-1195.039	1000.0	-62.70745	0.011334248	-62.352055	-62.71285	65000	0.27798682	2612.8157	-0.009599447	-230.5	9.141608	1.744475	115.99457120895386
13	-1155.3928	15.712944	-1144.423	-1186.104	1000.0	-65.41432	0.010119909	-65.12728	-65.419044	70000	-0.0037042573	2160.051	-0.0049836207	-188.67224	9.147336	1.7254918	124.18673372268677
14	-1139.7888	87.44917	-1016.2285	-1272.1632	1000.0	-67.91369	0.009240003	-67.643425	-67.91842	75000	0.09669425	1968.6504	-0.008330047	-166.06934	9.108537	1.6950039	132.24843382835388
15	-1144.9255	28.785192	-1098.8583	-1176.9526	1000.0	-70.30919	0.008223494	-70.11307	-70.313576	80000	0.17854542	1638.117	-0.0076812357	-134.36499	9.135549	1.7392193	139.97358560562134
16	-1095.882	30.64342	-1042.1881	-1136.9706	1000.0	-72.52034	0.009220886	-72.19818	-72.52445	85000	0.047434222	1369.7675	-0.0057997666	-96.10547	9.124571	1.745942	147.9990086555481
17	-1055.7878	67.34097	-965.4969	-1158.6107	1000.0	-74.44201	0.008621763	-74.2072	-74.44594	90000	0.10223879	1007.9203	-0.005060643	-69.22406	9.119055	1.6996856	156.031014919281
18	-1011.425	31.171873	-963.7533	-1057.4056	1000.0	-76.11147	0.008408432	-75.83571	-76.115295	95000	0.17097418	684.4638	-0.0047146976	-35.918884	9.105086	1.7344877	164.13557600975037
19	-1000.2529	59.88833	-910.24036	-1071.7778	1000.0	-77.35832	0.008044798	-77.07348	-77.361755	100000	0.05308828	671.5446	-0.0025894716	-27.137695	9.187135	1.7283611	172.48972129821777
20	-1040.4377	67.00839	-924.9965	-1134.2365	1000.0	-78.45312	0.0074420753	-78.25302	-78.45652	105000	-0.005085754	806.3294	-0.003030057	-36.93164	9.19477	1.7610074	181.22240090370178
21	-956.6839	118.79715	-827.578	-1164.2714	1000.0	-79.7409	0.006842364	-79.52437	-79.74439	110000	0.1360147	688.7628	-0.0053684562	-12.276428	9.097084	1.7005527	189.44544172286987
22	-980.4118	88.8622	-876.162	-1120.3024	1000.0	-80.54029	0.007241112	-80.323685	-80.54358	115000	0.18593752	815.6993	-0.0043062717	-9.935303	9.074227	1.6798621	197.67952704429626
23	-955.45056	16.832224	-935.1468	-978.98126	1000.0	-81.24892	0.006693016	-81.078514	-81.25213	120000	0.00076476746	564.7093	-0.0038629912	-3.3104858	9.077211	1.6628118	205.96217250823975
24	-947.075	79.441185	-810.0473	-1045.6792	1000.0	-81.68314	0.0064770924	-81.49922	-81.68642	125000	0.073772	608.64746	-0.0034926161	-2.9224854	9.028469	1.5940319	214.1108374595642
25	-945.01404	61.995945	-835.4082	-1020.9748	1000.0	-82.08462	0.008769827	-81.77675	-82.08807	130000	0.13589354	584.90436	-0.0034309179	-1.0967407	9.042426	1.5977526	222.2746467590332
26	-881.7708	60.426888	-771.4692	-936.1916	1000.0	-82.34504	0.007537241	-82.14035	-82.348305	135000	0.050791092	509.9186	-0.003900759	-4.3679504	9.143908	1.7585762	230.5804033279419
