Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	4471.038	50.049015	4532.861	4398.3286	1000.0	-0.15239118	0.72475684	2.5389774	-2.5199604	5000	-0.044140548	171227.36	-0.0891068	-11616.922	17.3245	1.6967554	21.472758769989014
1	4492.893	87.5726	4635.243	4414.04	1000.0	14.07906	2.0209484	14.726224	-12.520549	10000	0.025660932	161507.12	-0.053470697	-5426.703	17.178175	1.5550449	33.19880270957947
2	4503.763	82.54595	4570.074	4341.371	1000.0	20.94874	1.6316959	21.107924	-18.22701	15000	-0.077874966	155965.58	-0.04401195	-4476.0156	17.221256	1.6456035	44.82029938697815
3	4561.602	85.87666	4725.4688	4490.6816	1000.0	26.637976	2.0026395	26.845213	-17.710316	20000	-0.031040307	155923.73	-0.034287717	-4362.6875	17.261803	1.6488359	56.40502858161926
4	4508.6084	66.8778	4588.0874	4405.7427	1000.0	32.17125	2.4793348	32.386105	-24.75177	25000	-0.02266053	148042.6	-0.026611285	-4100.8125	17.216831	1.6314386	68.2169029712677
5	4452.6973	39.25706	4500.2197	4389.117	1000.0	37.67318	1.397062	37.732094	-19.29295	30000	-0.14219986	140562.44	-0.025292173	-3775.1562	17.199812	1.5674382	79.76594662666321
6	4589.087	59.6269	4692.6104	4516.843	1000.0	42.88635	0.7485128	42.919178	6.3682194	35000	0.106922105	147409.28	-0.024762891	-3942.6406	17.237936	1.6276712	91.2584936618805
7	4569.2974	68.45676	4672.2314	4475.082	1000.0	48.03457	2.8554718	48.20369	-32.553867	40000	-0.056943018	141026.36	-0.023160513	-3828.125	17.198921	1.6475152	102.95613312721252
8	4479.823	54.23294	4539.0933	4380.773	1000.0	53.28741	1.5125302	53.376923	-9.632177	45000	0.005633026	131433.69	-0.018152116	-3581.2734	17.280182	1.6142575	114.69958639144897
9	4469.668	49.479908	4522.2607	4393.3755	1000.0	58.33259	1.4801296	58.405327	-14.085968	50000	-0.08296867	127437.36	-0.019934937	-3435.4375	17.360348	1.7066723	126.2647807598114
10	4477.972	70.59352	4563.635	4388.6655	1000.0	63.337986	0.77792466	63.363644	14.495586	55000	-0.076959245	124121.12	-0.015740767	-3348.8438	17.36821	1.7727758	138.27153062820435
11	4485.4863	64.91808	4579.1304	4394.019	1000.0	68.236015	1.8963928	68.28961	-53.755524	60000	-0.031577505	121979.49	-0.019101888	-3323.3672	17.438913	1.788643	150.00985312461853
12	4591.2446	124.69753	4752.8433	4369.413	1000.0	73.118614	1.9620088	73.201195	-22.500591	65000	0.0038579102	124635.805	-0.017366802	-3437.664	17.273106	1.6555867	161.74998116493225
13	4498.992	56.803112	4593.174	4424.9834	1000.0	78.15039	0.7817011	78.188774	39.48898	70000	-0.1259428	115162.83	-0.016048774	-3178.1719	17.178196	1.6650987	173.25392985343933
14	4470.237	79.1161	4616.2896	4390.928	1000.0	83.00985	0.8127423	83.039925	51.951794	75000	0.030619925	110707.17	-0.012973169	-3065.3125	17.189602	1.6189544	185.30697798728943
15	4483.806	38.74719	4557.8823	4444.6357	1000.0	87.70113	2.7287602	87.821335	-17.619425	80000	0.029230505	109181.8	-0.019128429	-3099.5312	17.335062	1.7365016	197.37879705429077
16	4511.5913	72.39451	4600.994	4430.447	1000.0	92.423706	3.851825	92.591515	-45.6193	85000	0.001140271	106408.164	-0.0147937015	-3064.6875	17.405481	1.8102587	209.01462197303772
17	4482.3086	36.93665	4530.8145	4424.4355	1000.0	97.29621	1.193908	97.338844	41.420444	90000	-0.08974631	102807.57	-0.015255883	-2894.0234	17.348381	1.7321012	220.4971067905426
18	4557.232	59.399437	4666.2754	4495.8916	1000.0	101.94101	2.9960008	102.044	-24.839203	95000	0.10199277	104016.4	-0.0135783255	-2985.8672	17.396524	1.8386045	232.5069456100464
19	4513.3926	106.79802	4699.6846	4428.0474	1000.0	106.73754	2.5892792	106.808914	-35.210545	100000	-0.039429072	99094.88	-0.013979461	-2835.75	17.214762	1.6444477	244.3361415863037
20	4463.3325	67.70391	4538.7256	4342.7773	1000.0	111.477615	0.5844009	111.49621	73.21266	105000	-0.10803035	92680.91	-0.014649898	-2677.875	17.342623	1.7317998	256.4697337150574
21	4441.3467	93.151665	4621.6343	4360.9155	1000.0	115.999725	2.8637757	116.09878	-19.118717	110000	0.010204755	88757.42	-0.01369195	-2614.3594	17.491673	1.9415883	268.03992533683777
22	4499.4014	113.40226	4659.0093	4341.3926	1000.0	120.53875	2.8327432	120.629776	-25.621668	115000	0.05089907	89453.61	-0.012592763	-2653.3516	17.354053	1.7497578	279.65851879119873
23	4491.3296	11.718306	4511.411	4474.9424	1000.0	125.148285	2.3540347	125.214714	-22.011793	120000	-0.0021408936	85807.22	-0.012454382	-2546.1016	17.285912	1.6816739	290.96626687049866
24	4464.1943	48.155045	4542.265	4402.0557	1000.0	129.72437	1.0172364	129.75447	63.551353	125000	-0.19298865	82249.36	-0.017855778	-2453.7344	17.392893	1.7858101	302.5035500526428
25	4437.815	54.669357	4517.679	4379.6577	1000.0	134.19229	1.8159716	134.25279	31.888428	130000	-0.053108644	78432.69	-0.013437178	-2376.0781	17.379667	1.7538781	314.0332496166229
26	4398.218	24.17483	4425.341	4361.4077	1000.0	138.65404	1.2775936	138.69102	69.356995	135000	0.10952149	74179.59	-0.014781788	-2257.0156	17.386444	1.8305551	325.66278982162476
27	4520.438	49.903896	4617.6675	4476.76	1000.0	142.97798	2.8550086	143.05618	-40.152664	140000	-0.05341825	78769.36	-0.016115054	-2435.8203	17.333447	1.7357196	337.34392738342285
28	4536.013	111.91146	4699.1377	4402.3774	1000.0	147.5096	2.337592	147.57874	22.233047	145000	-0.06170316	76489.58	-0.014740795	-2385.2734	17.367487	1.7311571	349.0834710597992
29	4532.5566	103.41867	4697.782	4389.464	1000.0	151.97337	4.657527	152.09676	-84.18396	150000	0.044870336	74652.125	-0.013360411	-2382.0469	17.4321	1.7391015	360.72795391082764
30	4441.6475	52.010284	4488.8555	4341.612	1000.0	156.5428	1.3947135	156.5865	87.610596	155000	-0.094336964	67204.41	-0.014373511	-2122.2734	17.354689	1.7887027	373.1949679851532
31	4577.1436	94.66395	4710.394	4432.819	1000.0	160.89586	0.85452807	160.92226	118.90149	160000	0.12209446	71911.04	-0.015959777	-2260.5703	17.377243	1.7209045	384.9151768684387
32	4435.591	34.49779	4501.763	4405.99	1000.0	165.38644	1.1883425	165.414	86.21581	165000	0.044145044	62664.13	-0.010100659	-2014.0117	17.472912	1.8489658	396.61363339424133
33	4420.855	43.91438	4487.1035	4350.775	1000.0	169.67532	1.567128	169.71286	63.385406	170000	0.08128814	60056.27	-0.014304973	-1944.8398	17.363138	1.8183101	408.2967698574066
34	4527.1396	110.38825	4655.745	4367.989	1000.0	173.86052	3.5314083	173.94121	-69.02137	175000	0.07756077	63732.883	-0.01458817	-2080.1328	17.358112	1.7585727	420.2324984073639
