Epoch	AverageEpRet	StdEpRet	AverageTestEpRet	StdTestEpRet	EpLen	TestEpLen	LossPi	LossQ1	LossQ2	LossV
1	881200.0	19425.756	838700.0	137742.56	1000.0	1000.0	-14398.29	87609.56	86898.82	28167.523
2	891800.0	26813.43	937600.0	9562.427	1000.0	1000.0	-61343.22	321293.78	311583.34	187455.83
3	944400.0	12563.439	963500.0	16261.919	1000.0	1000.0	-134724.81	1418103.2	1398006.1	891427.44
4	949200.0	18956.793	940400.0	19116.484	1000.0	1000.0	-174061.42	1940546.0	1919201.9	1269359.0
5	921200.0	20894.018	945300.0	21100.0	1000.0	1000.0	-197781.5	1608179.2	1607732.2	1370592.6
6	897800.0	80841.57	938100.0	10054.353	1000.0	1000.0	-195625.14	1501670.6	1503187.0	1366637.5
7	949400.0	14813.508	953700.0	7642.643	1000.0	1000.0	-198245.02	1419855.8	1425992.1	1319326.1
8	864800.0	103001.74	940000.0	48936.695	1000.0	1000.0	-194501.58	1148434.6	1156477.1	1175603.0
9	899600.0	50186.055	930200.0	48903.582	1000.0	1000.0	-190358.4	894636.25	902841.44	931096.56
10	923200.0	21958.14	949400.0	12068.14	1000.0	1000.0	-184002.28	668838.1	673205.06	772990.3
11	911400.0	42781.305	897100.0	48794.367	1000.0	1000.0	-179319.33	618178.1	604492.25	689202.5
12	943000.0	5761.9443	921300.0	87004.664	1000.0	1000.0	-170704.4	521474.8	513017.56	612087.7
13	930400.0	12595.237	935700.0	31783.8	1000.0	1000.0	-161846.62	417120.62	409469.12	502729.94
14	957600.0	13395.521	865000.0	112815.78	1000.0	1000.0	-152582.27	309798.1	305356.8	402470.22
15	909400.0	27961.402	938800.0	33162.63	1000.0	1000.0	-144404.12	255410.28	250897.31	339130.62
16	885000.0	61951.594	893100.0	117643.06	1000.0	1000.0	-137666.98	204367.67	201296.12	276861.7
17	930800.0	52685.484	951900.0	31072.334	1000.0	1000.0	-131621.23	168530.58	164922.47	232328.34
18	884000.0	104699.57	892900.0	69635.41	1000.0	1000.0	-126274.15	154056.66	151151.12	214051.16
19	932200.0	25949.182	895000.0	73807.86	1000.0	1000.0	-121740.85	137308.27	136172.0	188126.25
20	927000.0	28474.55	892300.0	107509.12	1000.0	1000.0	-117663.96	123869.36	123188.734	170060.95
21	926400.0	22843.816	917400.0	56591.87	1000.0	1000.0	-113626.49	116781.95	117426.07	161625.47
22	897000.0	61510.977	911900.0	72757.75	1000.0	1000.0	-110107.01	108891.305	108411.19	145114.8
23	865400.0	50527.617	888900.0	80995.62	1000.0	1000.0	-107199.44	102272.9	101880.766	134335.55
24	903200.0	37933.625	959300.0	25721.781	1000.0	1000.0	-104887.99	97543.51	97271.13	129860.195
25	903800.0	72661.95	940900.0	18392.662	1000.0	1000.0	-103214.336	90567.055	89850.97	117070.82
26	888400.0	48226.965	948100.0	33566.203	1000.0	1000.0	-101835.73	87123.23	86813.44	113155.01
27	908000.0	100830.55	955300.0	14269.197	1000.0	1000.0	-100431.336	83263.82	83344.125	109186.81
28	947200.0	14675.149	951100.0	29340.928	1000.0	1000.0	-99311.42	79149.3	79260.16	101796.04
29	939000.0	29407.48	968900.0	13284.953	1000.0	1000.0	-98476.23	77707.67	77157.6	100814.54
