Epoch	AverageEpRet	StdEpRet	AverageTestEpRet	StdTestEpRet	EpLen	TestEpLen	LossPi	LossQ1	LossQ2	LossV
1	889800.0	7807.6885	971200.0	18594.623	1000.0	1000.0	-15430.313	82769.61	82798.53	26117.738
2	895200.0	10283.968	647100.0	46410.02	1000.0	1000.0	-58837.42	240527.05	244829.83	130075.77
3	888000.0	98258.84	959000.0	8270.43	1000.0	1000.0	-115882.42	959247.4	958245.9	582319.1
4	942200.0	26133.504	908400.0	28580.412	1000.0	1000.0	-152705.33	1919808.2	1929259.0	1019456.94
5	935200.0	12122.706	923600.0	15894.653	1000.0	1000.0	-175283.94	1977613.5	1993492.5	1182396.0
6	946000.0	15283.979	920700.0	17111.691	1000.0	1000.0	-188829.16	1790903.5	1798493.8	1267092.1
7	886800.0	58228.516	905000.0	69446.38	1000.0	1000.0	-194086.9	1392166.9	1398942.6	1173516.5
8	901800.0	38028.41	890800.0	76495.49	1000.0	1000.0	-193586.92	1222007.9	1216703.9	1074408.5
9	945600.0	6740.92	943000.0	15112.908	1000.0	1000.0	-188665.27	1304445.4	1306050.9	1144410.9
10	920000.0	10825.895	894900.0	24196.902	1000.0	1000.0	-182885.77	1204582.0	1205825.1	1049419.8
11	921600.0	9329.523	948100.0	5048.762	1000.0	1000.0	-177800.39	970267.6	968379.5	879065.06
12	943000.0	21438.283	909200.0	36311.98	1000.0	1000.0	-171003.62	765370.7	753008.3	766866.44
13	882400.0	51106.164	900500.0	20470.71	1000.0	1000.0	-163613.06	584777.94	574140.56	616567.6
14	918600.0	18194.502	861600.0	106277.19	1000.0	1000.0	-156571.8	438739.97	427804.38	489923.38
15	967400.0	34144.4	777300.0	129167.37	1000.0	1000.0	-148919.39	335508.22	328823.94	390641.78
16	902800.0	44888.305	898200.0	135745.2	1000.0	1000.0	-141295.6	253564.36	246972.62	309943.2
17	906400.0	58813.605	865100.0	81413.08	1000.0	1000.0	-135167.47	202773.48	194389.67	256478.67
18	918800.0	39493.797	937200.0	21497.906	1000.0	1000.0	-130676.99	168269.31	161157.1	218508.84
19	933800.0	48109.875	926200.0	17215.11	1000.0	1000.0	-125914.266	144907.3	140097.48	194318.9
20	893200.0	62563.246	954000.0	32295.51	1000.0	1000.0	-121327.28	135670.34	130489.08	183091.3
21	930400.0	8452.219	944800.0	21971.8	1000.0	1000.0	-117018.445	121675.555	118396.125	161244.22
22	884000.0	103028.16	882400.0	129153.55	1000.0	1000.0	-113330.61	111361.18	108133.44	147092.22
23	833800.0	138917.81	968100.0	20627.408	1000.0	1000.0	-110482.05	105974.22	102674.94	135996.38
24	882600.0	154096.86	808500.0	119870.97	1000.0	1000.0	-108139.57	99916.94	98474.18	126205.9
25	897400.0	121325.34	918800.0	77139.875	1000.0	1000.0	-106075.89	98095.09	95993.35	125345.7
26	903400.0	65922.984	915100.0	23513.613	1000.0	1000.0	-104446.31	93532.82	91658.49	117359.28
27	923200.0	13991.426	916100.0	48728.74	1000.0	1000.0	-103184.2	92284.87	90228.39	113711.8
28	942600.0	10423.052	968300.0	21161.521	1000.0	1000.0	-102122.414	90484.54	88744.49	112527.06
29	940200.0	17937.67	930400.0	29678.95	1000.0	1000.0	-101216.195	86735.945	85210.484	105358.6
