Epoch	AverageEpRet	StdEpRet	AverageTestEpRet	StdTestEpRet	EpLen	TestEpLen	LossPi	LossQ1	LossQ2	LossV
1	888400.0	12026.637	550100.0	40832.46	1000.0	1000.0	-15398.6	83003.445	82594.914	26618.533
2	893400.0	5462.6	961800.0	16240.689	1000.0	1000.0	-66818.39	323721.12	325269.94	187895.67
3	941600.0	50194.023	644500.0	16710.775	1000.0	1000.0	-142888.39	1113916.6	1143338.2	652270.1
4	908200.0	81177.34	946500.0	9113.178	1000.0	1000.0	-193941.72	1990425.0	2026208.6	1131929.1
5	948800.0	7222.188	947400.0	9101.648	1000.0	1000.0	-215704.9	2334488.5	2341319.5	1344628.4
6	946200.0	4955.8047	967400.0	9200.0	1000.0	1000.0	-223115.58	2234788.8	2190839.5	1410181.5
7	949200.0	45194.69	970600.0	15863.164	1000.0	1000.0	-224418.84	2263391.0	2218445.5	1550232.1
8	962200.0	15078.462	941500.0	15337.861	1000.0	1000.0	-218225.17	2310707.2	2240490.8	1569869.1
9	947400.0	9645.725	953900.0	8870.738	1000.0	1000.0	-213290.52	1820409.9	1771999.6	1457346.0
10	952600.0	6974.2383	882600.0	133933.72	1000.0	1000.0	-204378.98	1390941.6	1346261.4	1202856.0
11	920000.0	45356.367	932700.0	96396.11	1000.0	1000.0	-196561.84	1108458.1	1079481.1	995880.1
12	915600.0	53380.145	796500.0	114151.875	1000.0	1000.0	-189475.28	807920.3	786247.4	789953.1
13	858400.0	108475.984	943200.0	55759.844	1000.0	1000.0	-180161.36	597520.1	587359.2	644472.75
14	884800.0	59790.97	891200.0	99372.84	1000.0	1000.0	-170310.83	489951.03	484057.12	534435.3
15	806400.0	148388.14	925400.0	62188.75	1000.0	1000.0	-161289.72	418830.47	414923.66	468142.84
16	904600.0	73374.66	951100.0	19149.15	1000.0	1000.0	-152828.69	343507.3	340845.44	400533.44
17	878400.0	113362.42	895600.0	46957.855	1000.0	1000.0	-146052.05	266882.06	263984.06	323463.9
18	923000.0	32796.34	899900.0	108383.07	1000.0	1000.0	-139589.22	211014.62	207804.83	262515.75
19	936400.0	20075.855	916900.0	81186.766	1000.0	1000.0	-132671.61	173055.4	170725.56	220084.12
