Epoch	AverageEpRet	StdEpRet	AverageTestEpRet	StdTestEpRet	EpLen	TestEpLen	LossPi	LossQ1	LossQ2	LossV
1	919600.0	10594.338	947600.0	10041.912	1000.0	1000.0	-15190.642	95223.6	95765.27	40600.63
2	908400.0	11253.444	788000.0	132450.75	1000.0	1000.0	-90668.65	426445.38	429693.66	322650.7
3	955800.0	29922.566	917400.0	21583.326	1000.0	1000.0	-204641.78	1492754.8	1477673.1	1374577.9
4	945600.0	23542.3	950800.0	31153.81	1000.0	1000.0	-264753.9	2296818.5	2244188.5	2120855.5
5	949200.0	14647.867	948000.0	16852.299	1000.0	1000.0	-290826.62	2560185.5	2526120.2	2413602.0
6	958200.0	12921.3	941200.0	29838.9	1000.0	1000.0	-303402.1	2091448.4	2047734.4	2269967.2
7	956800.0	13257.451	934300.0	49560.164	1000.0	1000.0	-297901.16	1899693.9	1856502.1	2113440.2
8	956200.0	26460.535	940300.0	120243.97	1000.0	1000.0	-288620.16	1384112.1	1353857.0	1652451.4
9	955600.0	26325.652	930100.0	114994.305	1000.0	1000.0	-280032.66	1127129.2	1113933.5	1385658.4
10	906800.0	53760.207	851300.0	118614.54	1000.0	1000.0	-270756.28	993478.6	971758.4	1260400.9
11	924000.0	50299.105	966600.0	21439.215	1000.0	1000.0	-256981.2	774190.9	758273.6	1013358.8
12	950000.0	27720.03	947700.0	50691.32	1000.0	1000.0	-239887.92	563281.6	564091.9	788590.8
13	926200.0	39183.67	953500.0	9156.965	1000.0	1000.0	-223285.05	472162.97	480559.4	696348.75
14	943600.0	28667.752	908000.0	87408.24	1000.0	1000.0	-208336.72	394819.7	399676.7	570089.9
15	946000.0	33484.324	923900.0	62849.74	1000.0	1000.0	-193349.48	363885.78	366856.28	534828.9
16	920200.0	45366.945	930900.0	19216.92	1000.0	1000.0	-180441.34	327910.8	328826.9	468163.03
17	939200.0	28610.488	937600.0	26922.854	1000.0	1000.0	-170020.25	265108.16	262900.34	380415.2
18	932000.0	52111.42	962800.0	36931.83	1000.0	1000.0	-160515.12	227601.36	225145.45	333535.03
19	935000.0	15479.018	940800.0	31230.752	1000.0	1000.0	-151758.52	200036.45	197921.64	292607.84
