Epoch	AverageEpRet	StdEpRet	AverageTestEpRet	StdTestEpRet	EpLen	TestEpLen	LossPi	LossQ1	LossQ2	LossV
1	887800.0	13120.976	781300.0	51345.984	1000.0	1000.0	-14348.87	81994.38	81269.59	27524.748
2	894200.0	8255.907	888500.0	17066.047	1000.0	1000.0	-61801.867	327754.06	319162.53	196867.03
3	827600.0	138938.25	918500.0	50594.96	1000.0	1000.0	-129506.164	1248568.4	1241008.0	772181.94
4	935800.0	35204.543	965600.0	7282.8564	1000.0	1000.0	-179033.86	1969023.8	1979759.4	1322534.8
5	911200.0	79290.35	946400.0	8296.987	1000.0	1000.0	-205533.83	1943159.4	1948830.8	1535508.1
6	947200.0	14302.447	966200.0	7152.622	1000.0	1000.0	-220541.7	1392855.4	1376418.2	1446550.4
7	962400.0	18831.889	859900.0	100848.84	1000.0	1000.0	-220183.81	1465320.9	1437545.5	1522311.2
8	798800.0	143896.34	879700.0	88692.79	1000.0	1000.0	-218590.2	1504070.0	1476546.0	1517320.0
9	933200.0	46404.31	816400.0	130055.52	1000.0	1000.0	-213157.94	1335702.1	1320407.8	1376112.6
10	862000.0	89509.77	864300.0	89321.945	1000.0	1000.0	-206233.23	1121022.4	1115107.4	1182959.1
11	929600.0	21509.068	912500.0	65772.72	1000.0	1000.0	-198157.75	892102.25	874704.9	973380.8
12	896600.0	44238.445	891900.0	90977.414	1000.0	1000.0	-186783.64	697403.6	673700.44	791435.5
13	909800.0	59633.547	935100.0	15214.796	1000.0	1000.0	-174616.11	546741.9	527236.7	643605.9
14	891000.0	51876.773	906200.0	52755.668	1000.0	1000.0	-164929.73	440573.12	422418.53	541090.44
15	913400.0	33601.19	936600.0	47596.637	1000.0	1000.0	-155726.83	358233.56	344567.56	444949.3
16	888000.0	86213.69	832000.0	80522.05	1000.0	1000.0	-146976.45	283394.72	269726.28	360499.16
17	862200.0	92495.19	848000.0	57005.26	1000.0	1000.0	-138751.38	230845.23	222705.36	299782.44
18	932800.0	16618.062	849600.0	109941.08	1000.0	1000.0	-132170.52	188377.67	181329.6	247790.92
19	856600.0	98599.4	921900.0	29548.098	1000.0	1000.0	-126130.91	161747.86	157309.7	218530.25
20	886800.0	107783.86	785100.0	138960.75	1000.0	1000.0	-120535.54	147332.72	141674.11	197783.25
21	862000.0	79571.35	891200.0	79900.94	1000.0	1000.0	-115706.73	131479.38	128468.41	172521.86
22	857000.0	80679.61	880900.0	81519.875	1000.0	1000.0	-112077.3	125263.875	121900.83	163951.55
23	908400.0	73779.67	877600.0	102385.74	1000.0	1000.0	-109080.94	118546.266	114377.58	149426.33
24	900200.0	87243.11	902700.0	90278.51	1000.0	1000.0	-106455.984	112275.125	108923.984	142696.53
25	949600.0	3826.2253	921600.0	64114.273	1000.0	1000.0	-104124.44	103455.484	100306.28	129871.82
26	941400.0	15704.775	953700.0	6827.1514	1000.0	1000.0	-102107.58	96585.65	94376.33	122627.734
27	909400.0	59483.105	900400.0	89294.12	1000.0	1000.0	-100233.51	91098.37	89156.414	114054.68
28	953400.0	21712.668	881700.0	104258.38	1000.0	1000.0	-98514.74	87743.375	86191.8	110956.8
29	946800.0	25301.383	836200.0	149488.33	1000.0	1000.0	-97200.805	84962.04	83391.02	105685.15
