Epoch	AverageEpRet	StdEpRet	AverageTestEpRet	StdTestEpRet	EpLen	TestEpLen	LossPi	LossQ1	LossQ2	LossV
1	897400.0	4923.4136	519700.0	15937.69	1000.0	1000.0	-16761.354	81963.23	81613.58	26475.615
2	896800.0	5810.3354	565600.0	32949.05	1000.0	1000.0	-59355.43	270598.16	269718.16	137844.25
3	819200.0	164362.28	947400.0	21800.0	1000.0	1000.0	-114239.74	791406.2	787710.9	472732.97
4	957400.0	10518.555	939900.0	14686.388	1000.0	1000.0	-148928.75	2126966.2	2120375.5	1095649.5
5	921400.0	62879.57	919100.0	89835.91	1000.0	1000.0	-166268.73	2287743.2	2251860.5	1278052.8
6	921600.0	40578.812	922200.0	13474.42	1000.0	1000.0	-172260.78	2220228.2	2181409.2	1414283.9
7	921800.0	31466.809	929700.0	50368.74	1000.0	1000.0	-182007.06	1744483.1	1709572.9	1294442.1
8	926200.0	26209.922	912100.0	83962.43	1000.0	1000.0	-182300.98	1686558.1	1660829.5	1281581.4
9	954000.0	8671.793	940600.0	18532.133	1000.0	1000.0	-180660.69	1787477.2	1765713.1	1349344.5
10	922800.0	38514.414	839500.0	157601.55	1000.0	1000.0	-179245.9	1669515.0	1644311.0	1309276.4
11	873200.0	111601.79	938300.0	40403.094	1000.0	1000.0	-175712.23	1390336.9	1375314.8	1142785.6
12	907000.0	16721.244	888300.0	64818.285	1000.0	1000.0	-172674.61	1182987.9	1166326.4	1008712.8
13	919200.0	45621.92	887300.0	78647.375	1000.0	1000.0	-170030.12	1048846.4	1036344.0	915503.7
14	915400.0	30057.28	880800.0	94873.39	1000.0	1000.0	-166216.67	962773.8	953460.3	866601.5
15	918000.0	42237.42	861700.0	103940.42	1000.0	1000.0	-160477.31	754405.3	745018.2	699246.44
16	939600.0	12338.558	864700.0	136299.7	1000.0	1000.0	-154250.83	572233.8	566813.94	581912.5
17	913600.0	36274.508	881800.0	76367.266	1000.0	1000.0	-149841.03	478577.5	472077.97	501753.25
18	919600.0	20905.5	883500.0	103979.086	1000.0	1000.0	-144338.3	404581.75	397642.72	437409.28
19	797800.0	122990.086	796100.0	141232.05	1000.0	1000.0	-138817.08	344543.7	337981.8	379385.7
20	871800.0	103370.016	693000.0	131109.11	1000.0	1000.0	-134369.58	294108.4	287983.0	336329.84
21	816200.0	162476.33	773900.0	145852.97	1000.0	1000.0	-130676.555	248353.1	243914.58	289237.75
22	840000.0	76881.73	914800.0	72207.75	1000.0	1000.0	-127080.82	210863.16	207325.06	254497.12
23	880200.0	57603.473	798900.0	152149.56	1000.0	1000.0	-122759.625	176796.28	174660.56	220050.12
24	915200.0	45485.82	731800.0	120782.28	1000.0	1000.0	-118467.695	158933.03	157325.84	204349.34
25	871400.0	43237.02	860900.0	98499.19	1000.0	1000.0	-115284.555	142870.31	142656.25	181865.31
26	850600.0	60911.74	840400.0	117873.83	1000.0	1000.0	-112550.32	133810.31	133769.52	168742.86
27	909200.0	26010.768	812600.0	136484.58	1000.0	1000.0	-110477.195	124391.82	123638.54	153878.86
28	913400.0	22887.55	912500.0	78554.76	1000.0	1000.0	-108311.836	114471.62	113213.414	140056.25
29	891400.0	104878.21	852500.0	106344.96	1000.0	1000.0	-105810.766	109591.48	108651.57	133875.16
